Job ID,Title,Company Name,Company Location,Description
216832519,"Senior Data Scientist at CyberCoders
",CyberCoders,"Santa Monica, CA","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->Are you a Senior Data Scientist who dreams of working for a fun and energetic environment?  Are you working with the latest in complex data products and data models?  If so, please read on!<br><br><br>We are the fastest growing tech company rolling up mobile applications in the user generated content space.  We are quickly becoming a leader in the Programmatic Ads space (a $60B a year industry in the U.S.)  We outperform the market by 30%!<br><br> <br><br>We are looking to bring on a Senior Data Scientist to help create and design cutting edge data models to help improve on identifying malicious actors and optimize our end user experience.<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->- Design and create cutting edge data models to identify malicious actors and spam to optimize user experience<br>- Improve system performance to help create automaton frameworks to approve/delete content<br><br>- Work with cross-functional teams to create better data manipulation techniques and define statistical analytics/models<br><br>- Help overcome analytical issues and help define scalable processes with data and engineering teams<br><br>- Collaborate with internal stakeholders and business teams to ensure goals are aligned with project intiatives<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->The Senior Data Scientist must have at least 5 years of post-graduate expeience and be familiar with:<br><br><br>- Background in data engineering with highly scaled data systems<br><br>- Experience with deploying and supporting projects in production<br><br>- Solid background working with Python and SQL languages<br><br>- Experience with large scale database frameworks (MySQL, PostgreSQL, MongoDB, DynamoDB, etc.)<br><br>- Familiar with cloud services platforms (Google DataFlow, BigQuery, RedShift, DataBricks, Apache Samza, etc.)<br><br>- BS or MS degree in Computer Science preferred<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8-->- We pay 100% of medical, dental, and vision premiums for full-time employees and their dependents<br>- Fast moving environment with ability to impact corporate strategy<br><br>- Open vacation policy; we dont count days<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Senior Data Scientist with experience building complex data systems and a passion for consumer facing technology, we want to see your resume right away!<!--END_SECTION_9--></div><br><br><br>CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.</span>"
216746616,"Data Scientist - Python, Data Collection, Machine Learning at CyberCoders
",CyberCoders,"San Francisco, CA","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1--><b>Job Title:</b> Data Scientist<br><b>Location:</b> San Francisco<br><br><b> Requirements:</b> 3 years exp, Python, SQL<br><br><b> Salary:</b> $135,000 - $165,000<br><br><br><br>We are a VC funded start-up paving the way and helping homeowners tap into equity without selling or piling on the debt! We are looking for someone to help us hone in on our product and upend the traditional ways when it comes to home financing. We are looking for a lead data scientist to come in and act as the glue with our Lead Data Engineer<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->You will be: <br>- Translating business to data science deliverables<br><br>- Developing ways to analyze risk for US housing market <br><br>- Identify, source and manage data<br><br>- Contribute to the development of algorithms and analytical models<br><br>- Advance error analysis<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7--><b>At least 4 years:</b><br>- Python<br><br>- Data Collection<br><br>- Fixed income modeling<br><br>- Quantitative finance<br><br>- Advanced statistical techniques: regression, properties of distributions, hypothesis testing<br><br>- Machine Learning<br><br>- SQL<br><br>- Postgres<br><br>- RESTful API<br><br>- Some backend software development knowledge<br><br><br><br><b>Educational Background:</b><br><br>- BA in CS or Economics<br><br>- STEM background is a plus<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8--><b>Benefits:</b><br>- Salary: $130k-$165k<br><br>- 401k<br><br>- Equity<br><br>- Comprehensive health, vision, and dental<br><br>- PTO<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Data Scientist with experience, please apply today!<!--END_SECTION_9--></div></span>"
216832221,"Data Scientist at CyberCoders
",CyberCoders,"Los Angeles, CA 90024","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->If you are a Data Scientist/Machine Learning Engineer with 2+ years of deep learning and CV experience, please read on!<br><br><br>Located in beautiful Westwood, we're aiming to improve healthcare through AI, smart diagnostics, and a team that is intensely passionate about healthcare and helping the world through advanced technologies. We are looking for a talented Machine Learning Engineer to join our team.<br><br><br><br>Our team is involved with creating new and innovative solutions using deep learning tailored to the needs of our different product lines.<br><br><br><br>This is a full time, permanent position in Westwood.<br><br><br><br>**Applications with completed questionnaires will be reviewed first**<!--END_SECTION_1--></div><h4 class=""section-title"">Top Reasons to Work with Us</h4><div class=""section-data section-data-title"" data-section=""2""><!--START_SECTION_2-->-Competitive Salary ($110-$150k DOE)<br>-Huge Room for Growth!!<br><br>-Be apart of improving Healthcare through AI!<!--END_SECTION_2--></div><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->-Developing deep learning models (RNN & CNN) for production purposes <br>-Collaborating and contributing in R&D activates via high-quality and productivity scripts<br><br>-Documenting experiments on Confluence with supporting summary statistics and results for peer discussion and review<br><br>-Providing insights of data collection and annotation and collaborating with data team for in-house data management and labeling<br><br>-Writing production and deployment code, optimizing model performance and inference speed<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->-MS, BS degree in computer science, statistics or related field<br>-Solid understanding and hands on experience with solving computer vision problems using deep learning<br><br>-2+ year(s) in using CNNs for classification, detection, segmentation, etc.<br><br>-Proficient with at least one major deep learning framework, preferably TensorFlow/Pytorch<br><br>-Strong passion or curiosity for artificial intelligence and the ability to learn fast<br><br>-Detail-oriented, well organized and self-motivated with a continuous drive to learn, explore and be challenged<br><br>-Works well in teams and communicate ideas clearly<br><br><br><br>Nice to Have:<br><br>-Experience with medical images (CT, DR, MR) is a plus<br><br><br><br>**Applications with completed questionnaires will be reviewed first**<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8-->For your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Machine Learning Engineer with experience, please apply today!<!--END_SECTION_9--></div><br><br><br>CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.</span>"
d0bffb50-18df-4e9a-8d9a-6157a427dcd0,"Data Science Communications Manager at IBM
",IBM,"San Jose, CA 95192","Introduction <br>Uncover and transform insights into creative experiences that matter to your customers. Make every touchpoint an opportunity to engage. As a Marketing Professional at IBM, you will create stories that cut through noise and have an impact on your audience. IBM is trailblazing the Agile Marketing approach, allowing you to work with speed, adaptability and creativity to uncover insights and deliver experiences that matter to your customers.<br><br>Your Role and Responsibilities <br><ul><li>As a member of the Executive and Internal Communications Team for IBM Data and AI, you will be part of a team which produces employee communications and external executive communications for IBM executives.</li><li>You will support the work of the team to create strategic communication campaigns, come up with innovative ways to engage employees that are in synch with IBM's culture, and create great visual stories for IBM executives to present externally.</li><li>You will also collaborate with internal partners as needed across functions (HR, Operations, PR, and Technical subject matter experts.)</li><li>In this role, you'll need to be a strategic thought partner who brings people together across functions, a captivating storyteller, a strong visual designer, a persuasive executive coach, and an organized and inspiring team member.</li><li>An expert in your field, you easily distill technical and business concepts in visual presentations and in person, while adding warmth and interest to all communications.</li><li>As a member of the Data and AI Executive and Internal Communications Team, you'll go beyond the day-to-day execution and offer strategic partnership to create vivid stories beyond the norm.</li><li>To succeed in this role, you are willing to take initiative and branch out into new things, you can work enthusiastically across functions, and you can manage numerous projects with tight deadlines.</li></ul><br><br>Required Technical and Professional Expertise <br><br><ul><li>Mastery of visual storytelling using Adobe Illustrator, Adobe Photoshop, and PowerPoint.</li><li>Video production and editing</li><li>A strong understanding of narrative and storytelling.</li><li>Knowledge of data and AI thought leadership and technology across industries.</li><li>Ability to work at speed and with enthusiasm across functions.</li><li>Exceptionally strong written and verbal communications skills.</li><li>Familiarity with communications platforms such as blogging and email platforms.</li><li>Experience working with executives</li><li>Experience with new media</li><li>Experience with public relations or media relations</li></ul><br><br>Preferred Technical and Professional Expertise <br>At least 3 year's relevant professional experience<br>Bachelor's degree in marketing or design<br><br>About Business Unit <br>Digitization is accelerating the ongoing evolution of business, and clouds - public, private, and hybrid - enable companies to extend their existing infrastructure and integrate across systems. IBM Cloud provides the security, control, and visibility that our clients have come to expect. We are working to provide the right tools and environment to combine all of our client's data, no matter where it resides, to respond to changing market dynamics.<br><br>Your Life @ IBM <br>What matters to you when you're looking for your next career challenge?<br><br>Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities - where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust - where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.<br><br>Impact. Inclusion. Infinite Experiences. Do your best work ever.<br><br>About IBM <br>IBM's greatest invention is the IBMer. We believe that progress is made through progressive thinking, progressive leadership, progressive policy and progressive action. IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition. Restlessly reinventing since 1911, we are the largest technology and consulting employer in the world, with more than 380,000 IBMers serving clients in 170 countries.<br><br>Location Statement <br>IBM will not be providing visa sponsorship for this position now or in the future.  Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.<br><br>Being You @ IBM <br>IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.<br><br>"
216778552,"Senior Data Scientist at CyberCoders
",CyberCoders,"Sunnyvale, CA 94085","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->If you are a Senior Data Scientist with experience, please read on!<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->Working with cutting edge technology with an amazing engineering team!<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->- Python<br>- Machine Learning<br><br>- Algorithms<br><br>- Modeling<br><br>- Pyspark<br><br>- Airflow<br><br>- SQL<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8-->Highly competitive comp packages with full benefits. Work with an incredibly talented team!<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Senior Data Scientist with experience, please apply today!<!--END_SECTION_9--></div><br><br>Security Clearance will be needed - therefore, only US citizens can be considered.</span>"
216718556,"Chief Data/BI Scientist - SQL, Python/R, Spark/Hadoop at CyberCoders
",CyberCoders,"Santa Monica, CA 90401","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->If you are a Chief Data/BI Scientist with experience, please read on!<br><br>We set you up to experiment faster, with less friction. We help you uncover new revenue opportunities, and deliver AI-powered recommendations to focus your budget on strategies with the highest impact. We are VC-backed and have recently closed our seed funding. We’re looking for our first hires, who will be instrumental in shaping the product and success of the company. Our office is located near the beach and third street promenade in beautiful Santa Monica. We have led data science teams at Facebook and PayPal, built, and sold companies, and built the core tech behind several startups.<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->- Apply your expertise in quantitative analysis, data mining, and the presentation of client data to see beyond the numbers and understand how our users interact with both our consumer and business products.<br>- Partner with Product and Engineering teams to solve problems at scale and identify trends and opportunities for the company<br>- Inform, influence, support, and execute our product decisions and product launches.<br>- Must have expertise in the following analysis areas:<br>- Business / Performance Forecasting<br>- Designing and evaluating experiments<br>- Identifying new levers to help move key metrics<br>- Monitoring key product metrics<br>- Evaluating and defining metrics<br>- Understanding root causes of changes in metrics<br>- Building and analyzing dashboards and reports<br>- Building key data sets to empower operational and exploratory analysis<br>- Understanding ecosystems, user behaviors, and long-term trends<br>- Building models of user behaviors for analysis or to power production systems<br>- Influencing product teams through presentation of data-based recommendations<br>- Communicating state of business, experiment results, etc to product teams<br>- Spreading best practices to analytics and product teams<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->- 3+ years experience doing quantitative analysis at a top-tier tech company<br>- Deep understanding of customer analytics <br>- BA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical fields from top-tier institution (Graduate degrees preferred)<br>- Experience in SQL<br>- Development experience in Python or R<br>- Ability to communicate the results of analyses with product and leadership teams<br>- Understanding of statistics (e.g., hypothesis testing, regressions)<br>- Experience manipulating data sets through statistical software (ex. R, Pandas) or other methods<br>- Experience with distributed computing Spark/Hadoop<br>- Experience with Amazon Redshift and Athena is a plus<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8-->- Competitive Salary and Equity<br>- Work with the Directly with Founders to Growth a Startup from Ground Up<br>- Health (Covered at 99% of Employee, 75% of dependents)<br>- Vision & Dental Coverage<br>- Unlimited Vacation<br>- Setup Your Own Kit (Buy what you need to get a comfortable work environment)<br>- 401k Retirement Savings Plan<br>- Gym and Education Expense<br>- Meal & Coffee Card<br>- Free Snacks and Drinks<br>- Professional Development Expenses (Conferences & Courses)<br>- Performance Bonuses<br>- Public Transport Commuter Help<br>- Relocation Costs (if applicable)<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Chief Data/BI Scientist with experience, please apply today!<!--END_SECTION_9--></div><br><br><br>CyberCoders will consider for Employment in the City of Los Angeles qualified Applicants with Criminal Histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box) Ordinance.</span>"
216747143,"Sr Data Scientist - Python, H2O, pandas at CyberCoders
",CyberCoders,"San Jose, CA 95110","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->If you are a Sr Data Scientist with experience, please read on! This position is part scientist, part engineer and part business leader. The engineer will be able to hone their skills while working side by side with industry experts, who have decades of experience. The candidate must be an organized and highly motivated team player with strong initiative and communication skills, and possesses the drive to deliver quality results on time in a complex, intensive and highly productive environment. As a Data Scientist on our AI Solutions team, you will be responsible for developing model pipelines to enable and drive production of the worlds most advanced chips, while being able to present information and influence customers about our AI solution. Python development, production experience and presentation skills are a must to explore, build and maintain modeling pipelines to distill valuable insights from terabytes of raw data and be able to share this information across the company.<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><!--START_SECTION_5--><!--END_SECTION_5--><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->""Masters degree or higher in Computer Science, Computer Engineering, Electrical Engineering or equivalent discipline with industrial experience in software development<br><br>""	5-10 years of production, testing or development experience with Python<br><br>""	2-4 Years working on H2O Platform<br><br>""	Experience with data science and machine learning, including Python libraries such as NumPy, SciPy, pandas and scikit-learn<br><br>""	Familiarity with .NET or Spark framework<br><br>""	Strong professional written and verbal communication skills.<br><br>""	Influential speaking and presentation skills<br><br>""	Ability to pass a skills based test<br><br>Mandatory Skills<br><br>"" At least 3 Years recent experience working as a Data Scientist in industry<br><br>"" Capability to filter and reduce noise<br><br>"" Clear understanding of Correlation Analysis<br><br>"" Superior understanding of Python's Pandas DataFrame,<br><br>"" Ability to create prediction models utilizing light spectra data<br><br>Experience with the following disciplines is a plus:<br><br>""	Cassandra DB or other NoSQL DB.<br><br>""	Experience with distributed computing<br><br>""	Experience using data visualization tools or data analysis<br><br>""	Experience utilizing GPU using frameworks such as TensorFlow, XGBoost, Nvidia RAPIDS<br><br>""	Familiarity with Java<!--END_SECTION_7--></div><!--START_SECTION_8--><!--END_SECTION_8--><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Sr Data Scientist with experience, please apply today!<!--END_SECTION_9--></div></span>"
216215875,"Data Science Engineer at Tentek, Inc
","Tentek, Inc","Torrance, CA","<span id='TrackingJobBody' name='TrackingJobBody'><p>Work location: Torrance, CA</p><p>Duration: 12+ months w/ possible extensions</p><p>&nbsp;</p><p>Description:</p><p>Seeking an individual to be responsible for the sustainment and enhancement of evolving platform, as well as providing service to the user community of practice around the data science tools.</p><p>Daily Tasks Performed:</p><ul><li>Managing the maintenance of the data science platform on prem &amp; Cloud</li><li>Assisting users in debugging their environments and code</li><li>Monitoring resource usage and planning for increased capacity</li><li>Facilitating network connectivity</li><li>Troubleshooting system errors</li><li>Coordinating trainings on the platform</li></ul><p>&nbsp;</p><p>Academic/Experience/Competency:</p><ul><li>2 to 5 years of experience in Data Science</li><li>Programming experience with Python</li><li>Experience with system architecture (preferably in both AWS and on-prem environments)</li><li>Knowledge of data science workflows</li><li>Understanding of Data integrations</li><li>Experience with AWS</li><li>Docker and/or Kubernetes</li><li>SPARK &amp; Presto</li><li>Excellent troubleshooting and problem-solving skills</li><li>Strong interpersonal and communication skills</li></ul><p>&nbsp;</p></span>"
216801766,"Data Scientist - Python, Data Collection, Machine Learning at CyberCoders
",CyberCoders,"San Francisco, CA","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1--><b>Job Title:</b> Data Scientist<br><b>Location:</b> San Francisco<br><br><b> Requirements:</b> 3 years exp, Python, SQL<br><br><b> Salary:</b> $135,000 - $165,000<br><br><br><br>We are a VC funded start-up paving the way and helping homeowners tap into equity without selling or piling on the debt! We are looking for someone to help us hone in on our product and upend the traditional ways when it comes to home financing. We are looking for a lead data scientist to come in and act as the glue with our Lead Data Engineer<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->You will be: <br>- Translating business to data science deliverables<br><br>- Developing ways to analyze risk for US housing market <br><br>- Identify, source and manage data<br><br>- Contribute to the development of algorithms and analytical models<br><br>- Advance error analysis<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7--><b>At least 4 years:</b><br>- Python<br><br>- Data Collection<br><br>- Fixed income modeling<br><br>- Quantitative finance<br><br>- Advanced statistical techniques: regression, properties of distributions, hypothesis testing<br><br>- Machine Learning<br><br>- SQL<br><br>- Postgres<br><br>- RESTful API<br><br>- Some backend software development knowledge<br><br><br><br><b> Educational Background:</b><br><br>- BA in CS or Economics<br><br>- STEM background is a plus<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8--><b>Benefits:</b><br>- Salary: $130k-$165k<br><br>- 401k<br><br>- Equity<br><br>- Comprehensive health, vision, and dental<br><br>- PTO<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Data Scientist with experience, please apply today!<!--END_SECTION_9--></div></span>"
216779011,"Data Scientist - Artificial Intelligence at CyberCoders
",CyberCoders,"Palo Alto, CA 94301","<span id='TrackingJobBody' name='TrackingJobBody'><div class=""section-data"" data-section=""1""><!--START_SECTION_1-->We are a newly founded organization that is focused on a 30 Billion dollar market. We are working with the DoD to help with their Artificial Intelligence Research and Development. We are currently looking to bring on 2 Machine Learning engineers asap. We are looking to help prevent terrorism all across the world, by leveraging the technology of AI. We currently use less than 1% of the data we obtain. We believe that if we increase this amount we will be able to prevent many more attacks and save lives. <br><br><br>If you are a Data Scientist with experience, please read on!<!--END_SECTION_1--></div><!--START_SECTION_2--><!--END_SECTION_2--><h4 class=""section-title"">What You Will Be Doing</h4><div class=""section-data section-data-title"" data-section=""5""><!--START_SECTION_5-->You will be joining a team of six that will be responsible to build and deploy our flagship product. This will be critical to the success of our company as a whole. You will be asked to apply the latest advances in deep learning to solve some of the most important and difficult problems in our day and age.<!--END_SECTION_5--></div><h4 class=""section-title"">What You Need for this Position</h4><div class=""section-data section-data-title"" data-section=""7""><!--START_SECTION_7-->- A.I.<br>- NLP<br><br>- Computer Vision<br><br>- NoSQL<br><br>- Docker<br><br>- Python<br><br>- PyTorch<br><br>- Keras<br><br>- Machine Learning<br><br>- Docker<br><br>- PySpark<!--END_SECTION_7--></div><h4 class=""section-title"">What's In It for You</h4><div class=""section-data section-data-title"" data-section=""8""><!--START_SECTION_8-->Competitive Base Salary - 175K - 200K DOE<br>- Health Dental Vision <br><br>- Bonus - Based on on company and individual performance<br><br>- 401K  Matching<br><br>- PTO<!--END_SECTION_8--></div><div class=""section-data"" data-section=""9""><!--START_SECTION_9-->So, if you are a Data Scientist with experience:<br><br><br>1. Apply directly to this job opening here!<br><br><br><br>Or<br><br><br><br>2. E-mail directly for more information to <a><span data-mux=""tooltip"" data-placement=""top"" title=""Apply to this job to send your resume to this employer"" class=""mux-tooltip"">Steve.Nash@cybercoders.com</span></a>  <!--END_SECTION_9--></div></span>"
